time,DELT1,DELT3,TRIlg,TRIlat,BIClg,BICsh,BRA,
0.0,0.03977614310063527,0.1912432462284591,0.05548123184192227,0.025101406722667655,0.006835152309796257,0.0023024427621233063,0.004646782392190701,
0.000794121356989308,0.0396295153634395,0.19149814466546544,0.0544868658220059,0.024856438713788488,0.0068400500473114224,0.002305323940346608,0.004595669594106981,
0.0015882427139750632,0.039484756851188074,0.19174038807898897,0.053505526940860054,0.024617384734805733,0.006845348686446669,0.002308411693855728,0.004547055757861304,
0.002382364070964371,0.03934192874703193,0.1919698428586846,0.05253723290555988,0.02438427092650067,0.006851057631304777,0.0023117084711285394,0.004500998602678374,
0.0031764854279501265,0.039201091039452275,0.1921863823437895,0.05158199856594992,0.02415712231498902,0.006857186481062936,0.0023152167374058275,0.0044575556055467735,
0.003970606784939434,0.039062302496395175,0.19238988688589176,0.05063983592870077,0.02393596282357301,0.006863745032792098,0.0023189389749716867,0.0044167839747243,
0.00476472814192519,0.03892562064006692,0.19258024390645684,0.049710754171996316,0.023720815284970855,0.006870743284170019,0.002322877683408857,0.004378740623092639,
0.005558849498914498,0.038791101722395825,0.1927573479490496,0.04879475966084218,0.023511701453901662,0.006878191436081969,0.0023270353798281558,0.004343482141372031,
0.006352970855900253,0.03865880070116537,0.19292110072619154,0.0478918559629873,0.0233086420200036,0.006886099895103186,0.0023314145990712015,0.0043110647712068005,
0.007147092212889561,0.038528771216823667,0.19307141116080284,0.04700204386545041,0.02311165662106307,0.00689447927585708,0.0023360178938856184,0.004281544378132728,
0.007941213569875316,0.03840106556997379,0.19320819542218226,0.0461253213916442,0.02292076385653247,0.006903340403243259,0.0023408478350719604,0.0042549764244374155,
0.008735334926864624,0.03827573469954907,0.1933313769564847,0.04526168381908984,0.02273598130131427,0.006912694314529457,0.002345907011601587,0.004231415941924923,
0.00952945628385038,0.03815282816167763,0.19344088651166327,0.04441112369771527,0.02255732551978877,0.006922552261301484,0.0023511980307047695,0.004210917504596134,
0.010323577640839687,0.03803239410923965,0.1935366621568469,0.04357363086873062,0.022384812080063227,0.006932925711265302,0.0023567235179282955,0.004193535201256378,
0.011117698997825443,0.037914479272121354,0.19361864929613468,0.04274919248407488,0.022218455568419955,0.006943826349895445,0.002362486117161879,0.004179322608062018,
0.011911820354811198,0.03779912893816887,0.1936868006767905,0.04193779302642759,0.02205826960394087,0.006955266081924009,0.002368488490632682,0.004168332761017844,
0.012705941711800506,0.037686386934845474,0.19374107639183114,0.04113941432978012,0.021904266853286326,0.006967257032664496,0.00237473331886729,0.004160618128437213,
0.013500063068786261,0.03757629561159517,0.19378144387700552,0.04035403560056093,0.02175645904560582,0.00697981154916484,0.0023812233006205003,0.00415623058337704,
0.014294184425775569,0.037468895822915696,0.19380787790217113,0.03958163343930963,0.02161485698755867,0.00699294220118403,0.0023879611527702882,0.004155221376059781,
0.015088305782761324,0.03736422691214396,0.19382036055707877,0.03882218186289438,0.021479470578422512,0.007006661781986822,0.002394949610178342,0.004157641106294784,
0.015882427139750632,0.03726232669595652,0.19381888123158333,0.03807565232726765,0.021350308825268,0.0070209833089511,0.002402191425515571,0.004163539695911379,
0.016676548496736388,0.03716323144958793,0.193803436590305,0.03734201375075529,0.02122737985817793,0.007035920023982489,0.0024096893690520077,0.004172966361216282,
0.017470669853725695,0.03706697589276948,0.1937740305417719,0.03662123253787375,0.021110690945489508,0.007051485393731009,0.0024174462284105424,0.004185969585487921,
0.01826479121071145,0.03697359317639078,0.19373067420208012,0.03591327260367058,0.021000248509038626,0.007067693109604573,0.002425464808283933,0.004202597091520445,
0.01905891256770076,0.0368831148698866,0.1936733858531144,0.03521809539858309,0.0208960581393853,0.007084557087574249,0.0024337479301145687,0.004222895814230255,
0.019853033924686514,0.036795570949351174,0.19360219089537808,0.03453565993381009,0.020798124610999707,0.007102091467766378,0.002442298431736455,0.004246911873337998,
0.020647155281675822,0.03671098978638241,0.19351712179548752,0.03386592280719157,0.02070645189738857,0.007120310613836661,0.002451119166978912,0.0042746905461390275,
0.021441276638661577,0.036629398137657726,0.19341821802839007,0.03320883822959099,0.020621043186141982,0.007139229112121566,0.002460213005231493,0.004306276240375485,
0.022235397995650885,0.036550821135243765,0.19330552601437379,0.03256435805177484,0.020541900893881162,0.007158861770562441,0.0024695828309696595,0.004341712467223171,
0.02302951935263664,0.03647528227764176,0.1931790990509392,0.03193243179178391,0.02046902668108802,0.007179223617397917,0.002479231543240731,0.004381041814406515,
0.02382364070962595,0.036402803421570436,0.19303899723961213,0.031313006662790466,0.020402421466797657,0.007200329899620313,0.0024891620551096617,0.0044243059194549765,
0.024617762066611704,0.036333404774487946,0.19288528740777983,0.030706027601435395,0.02034208544313551,0.007222196081191933,0.0024993772930642106,0.00447154544311433,
0.02541188342360101,0.03626710488785464,0.19271804302563966,0.030111437296639402,0.02028801808968117,0.007244837841017294,0.0025098801963790718,0.004522800042926322,
0.026206004780586767,0.036203920651137846,0.19253734411835438,0.029529176218881657,0.02024021818764135,0.007268271070667483,0.002520673716438564,0.0045781083469902655,
0.027000126137576075,0.036143867286560244,0.1923432771735127,0.028959182649939512,0.020198683833814984,0.007292511871853025,0.0025317608160174815,0.004637507927920204,
0.02779424749456183,0.03608695834459285,0.1921359350439999,0.028401392713082462,0.020163412454333736,0.007317576553641807,0.0025431444685197323,0.004701035277011295,
0.028588368851551138,0.03603320570019386,0.1919154168463885,0.027855740403713313,0.0201344008181618,0.00734348162941882,0.002554827657174396,0.004768725778629191,
